         95906 function calls (92824 primitive calls) in 4.176 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      227    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:119(release)
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
      193    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:163(__enter__)
      193    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:170(__exit__)
      227    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
      191    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
    223/4    0.000    0.000    4.169    1.042 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:235(_requires_builtin_wrapper)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
      163    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(__exit__)
      648    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(__init__)
      302    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:406(cached)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(parent)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
        7    0.000    0.000    0.025    0.004 <frozen importlib._bootstrap>:436(spec_from_loader)
      163    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
      163    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:630(_load_backward_compatible)
    167/4    0.001    0.000    4.171    1.043 <frozen importlib._bootstrap>:659(_load_unlocked)
      178    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:716(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:737(create_module)
      191    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:745(exec_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:762(is_package)
      175    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:789(find_spec)
      537    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(__enter__)
      537    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:856(__exit__)
        9    0.000    0.000    0.025    0.003 <frozen importlib._bootstrap>:870(_find_spec_legacy)
  178/150    0.002    0.000    0.048    0.000 <frozen importlib._bootstrap>:879(_find_spec)
    193/4    0.001    0.000    4.172    1.043 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
      227    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:94(acquire)
    193/4    0.002    0.000    4.172    1.043 <frozen importlib._bootstrap>:966(_find_and_load)
   464/99    0.000    0.000    0.117    0.001 <frozen importlib._bootstrap>:996(_handle_fromlist)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1044(_path_hooks)
      474    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1061(_path_importer_cache)
      175    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1098(_get_spec)
      175    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1130(find_spec)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1175(__init__)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1181(<genexpr>)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1207(_get_spec)
      397    0.004    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1212(find_spec)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1257(_fill_cache)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1286(<setcomp>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1298(path_hook_for_FileFinder)
      284    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:243(cache_from_source)
      397    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:30(_relax_case)
      160    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:339(_get_cached)
     2023    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:363(_verbose_message)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:379(_check_name_wrapper)
      142    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:416(_validate_bytecode_header)
      284    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
      142    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:471(_compile_bytecode)
     2072    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
      160    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(spec_from_file_location)
     2072    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
      284    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:653(create_module)
    142/4    0.001    0.000    4.171    1.043 <frozen importlib._bootstrap_external>:656(exec_module)
      764    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
      142    0.001    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:726(get_code)
      225    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:783(__init__)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:808(get_filename)
      142    0.015    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:813(get_data)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:823(path_stats)
      211    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:889(__init__)
       18    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:900(create_module)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(exec_module)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:92(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        4    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:5(BasePoolKey)
        1    0.000    0.000    0.000    0.000 <string>:5(DefaultVerifyPaths)
        1    0.000    0.000    0.000    0.000 <string>:5(DefragResult)
        1    0.001    0.001    0.001    0.001 <string>:5(HTTPPoolKey)
        1    0.000    0.000    0.000    0.000 <string>:5(HTTPSPoolKey)
        1    0.000    0.000    0.000    0.000 <string>:5(Match)
        1    0.000    0.000    0.000    0.000 <string>:5(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:5(RequestHistory)
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
        1    0.000    0.000    0.000    0.000 <string>:5(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(Url)
        1    0.000    0.000    0.000    0.000 <string>:5(_ASN1Object)
        1    0.000    0.000    0.000    0.000 <string>:5(_LoggingWatcher)
        1    0.000    0.000    0.000    0.000 <string>:5(usage)
        1    0.000    0.000    0.000    0.000 Bus.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Bus.py:7(Bus)
        1    0.000    0.000    0.001    0.001 Location.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Location.py:2(Location)
        1    0.000    0.000    0.004    0.004 Map.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Map.py:10(Map)
        1    0.000    0.000    0.001    0.001 Route.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Route.py:9(Route)
        1    0.000    0.000    0.000    0.000 Stop.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Stop.py:8(Stop)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:78(_Feature)
        9    0.000    0.000    0.000    0.000 __future__.py:79(__init__)
        7    0.000    0.000    0.032    0.005 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1050(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1056(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1074(PlaceHolder)
        4    0.000    0.000    0.000    0.000 __init__.py:1080(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:1086(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1116(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1121(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:1132(getLogger)
        7    0.000    0.000    0.000    0.000 __init__.py:1183(_fixupParents)
        2    0.000    0.000    0.000    0.000 __init__.py:1207(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:1224(Logger)
        8    0.000    0.000    0.000    0.000 __init__.py:1239(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        2    0.000    0.000    0.000    0.000 __init__.py:1427(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1542(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1548(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1556(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        7    0.000    0.000    0.000    0.000 __init__.py:1774(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:18(<module>)
       11    0.000    0.000    0.000    0.000 __init__.py:182(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:184(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:188(c_uint)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:1902(NullHandler)
        2    0.000    0.000    0.000    0.000 __init__.py:1918(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
        1    0.000    0.000    0.072    0.072 __init__.py:21(<module>)
       12    0.000    0.000    0.000    0.000 __init__.py:211(_acquireLock)
       12    0.000    0.000    0.000    0.000 __init__.py:220(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:231(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        1    0.000    0.000    0.006    0.006 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        2    0.000    0.000    0.072    0.036 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:314(CDLL)
        2    0.000    0.000    0.000    0.000 __init__.py:331(__init__)
       17    0.001    0.000    0.012    0.001 __init__.py:340(namedtuple)
        2    0.000    0.000    0.000    0.000 __init__.py:341(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:357(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:364(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:370(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:370(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:376(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:385(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:394(StringTemplateStyle)
      102    0.000    0.000    0.000    0.000 __init__.py:403(<genexpr>)
      102    0.000    0.000    0.000    0.000 __init__.py:405(<genexpr>)
        1    0.000    0.000    0.117    0.117 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:410(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:411(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:418(Formatter)
        8    0.000    0.000    0.000    0.000 __init__.py:42(normalize_encoding)
        1    0.000    0.000    0.033    0.033 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:462(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:475(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:476(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.000    0.000 __init__.py:591(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:633(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:670(Filterer)
       11    0.000    0.000    0.000    0.000 __init__.py:675(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:7(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:742(_addHandlerRef)
        1    0.002    0.002    0.002    0.002 __init__.py:752(Handler)
        3    0.000    0.000    0.000    0.000 __init__.py:761(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:790(createLock)
